experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict people walking dogs outdoors, while the cat_1 images show people interacting with dogs in close proximity, such as holding, petting, or bathing them. The test image shows a dog outdoors but not being walked by a person.\nRule: The presence of a person walking a dog outdoors.\nTest Image: A dog outdoors wearing a bandana.\nConclusion: cat_1']
44 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The `cat_2` images all depict people boarding or disembarking from trains, while the `cat_1` images show people either inside a train, operating a train, or near a train but not in the process of boarding or disembarking. The `test image` shows a group of people boarding a train.\nRule: People are in the process of boarding or disembarking from a train.\nTest Image: A group of people boarding a train.\nConclusion: cat_2']
45 | expected:'cat_1' | got='cat_1' | full: [" Analysis: The `cat_2` images all depict people interacting with trains at a station, either boarding, alighting, or assisting others. The `cat_1` images show people either inside a train, operating a train, or observing from a train, but not at a station interacting with the train.\nRule: People are interacting with trains at a station.\nTest Image: A person is operating a train from the driver's seat.\nConclusion: cat_1"]
46 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all feature individuals who are either interacting with or looking at a screen, such as a laptop or tablet, while the cat_1 images show individuals who are not actively engaging with a screen or are in a different context where the screen is not the focus.\nRule: Individuals are actively engaging with or looking at a screen.\nTest Image: A man sitting at a table using a laptop.\nConclusion: cat_2']
47 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The `cat_2` images depict individuals using laptops or tablets in a collaborative or educational context, often with another person present. The `cat_1` images show individuals using laptops in a solitary manner, often for personal or professional tasks without direct interaction with others.\nRule: The presence of interaction or collaboration with another person while using a laptop or tablet.\nTest Image: A person is repairing a laptop, working alone with various tools and components.\nConclusion: cat_1']
48 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict individuals actively performing tricks or maneuvers on skateboards, often in skate parks or on ramps. The cat_1 images either show individuals not actively skateboarding (like holding a skateboard, sitting on one, or walking with one) or depict non-skateboarding activities. The test image shows a person performing a trick on a skateboard in a skate park setting.\nRule: The image must show a person actively performing a trick or maneuver on a skateboard.\nTest Image: A person performing a trick on a skateboard in a skate park.\nConclusion: cat_2']
49 | expected:'cat_1' | got='cat_1' | full: [" Analysis: The cat_2 images depict individuals actively performing skateboarding tricks or maneuvers on ramps, rails, or other structures. The cat_1 images either show individuals not actively skateboarding (e.g., holding a skateboard, sitting on one, or not involving skateboarding at all) or performing tricks in a way that doesn't involve interaction with structures like ramps or rails. The test image shows a person holding a skateboard but not actively skateboarding or performing a trick.\nRule: The images in cat_2 involve active skateboarding tricks on structures, while cat_1 images do not.\nTest Image: A person holding a skateboard in a forested area, not actively skateboarding.\nConclusion: cat_1"]
50 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict individuals actively performing skateboarding tricks on rails, ledges, or ramps, while the cat_1 images either show people not actively skateboarding, or performing tricks that do not involve grinding or sliding on rails or ledges. The test image shows a person grinding on a rail.\nRule: The image must show a person actively performing a skateboarding trick that involves grinding or sliding on a rail, ledge, or ramp.\nTest Image: A person is grinding on a rail.\nConclusion: cat_2']
51 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals actively performing tricks or maneuvers on skateboards, often in mid-air or on rails, indicating a focus on skateboarding stunts. The cat_1 images either show individuals not actively skateboarding, groups of people, or individuals in a non-stunt context with skateboards.\nRule: The presence of an individual actively performing a skateboarding trick or stunt.\nTest Image: A person standing on a skateboard, not performing a trick or stunt.\nConclusion: cat_1']
52 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images all feature multiple people interacting with a laptop, while the cat_1 images either show a single person or focus on the laptop itself without people interacting with it.\nRule: The presence of multiple people interacting with a laptop.\nTest Image: A single person is sitting at a table with a laptop, working alone.\nConclusion: cat_1']
53 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict people interacting with laptops in a collaborative or social context, while the cat_1 images show individuals using laptops in a solitary or technical manner, such as repair or typing alone.\nRule: The presence of social interaction or collaboration involving the laptop.\nTest Image: A man is repairing a laptop, working alone.\nConclusion: cat_1']
54 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show people interacting with laptops in a manner that suggests they are using the laptops for work, learning, or communication, often in a seated position and with a focus on the screen. The cat_1 images show people interacting with laptops in a way that suggests repair, play, or casual use, often with a focus on the keyboard or the physical manipulation of the laptop.\nRule: People in cat_2 are using laptops for work, learning, or communication, while people in cat_1 are repairing, playing with, or casually using laptops.\nTest Image: A young girl is seated and appears to be using a laptop, possibly for learning or communication, as she is focused on the screen and wearing headphones.\nConclusion: cat_2']
55 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images show people interacting with laptops in a manner that suggests they are using the laptops for work, learning, or communication, often in a seated position and with a focus on the screen. The cat_1 images either show people repairing laptops, using them in unconventional ways, or focusing solely on typing without a clear context of use. The test image shows a person typing on a laptop while seated, suggesting active use of the laptop.\nRule: People are using laptops for work, learning, or communication in a seated position with a focus on the screen.\nTest Image: A person is seated and typing on a laptop, suggesting active use.\nConclusion: cat_2']
