experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The images in cat_2 show people walking dogs on leashes, typically in an outdoor street setting. The dogs are generally at arm's length or further away from the person. The images in cat_1 show people holding or closely interacting with dogs, often in a more intimate or caring manner (e.g., cuddling, bathing).\nRule: Cat_2 images depict people walking dogs on leashes at a distance, while cat_1 images depict people closely holding or interacting with dogs.\nTest Image: The test image shows a dog sitting and looking at the camera, with a person partially visible in the background. The dog is not on a leash and is not being walked.\nConclusion: cat_1"]'
68 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 depict people greeting each other with a hand gesture like a high-five or a handshake, but not a physical embrace or kiss. The images in cat_1 depict people in a close embrace or kissing.\nRule: Cat_2 images show people greeting each other with a non-physical touch gesture (handshake, high-five), while cat_1 images show people in a physical embrace or kiss.\nTest Image: The test image shows two people shaking hands.\nConclusion: cat_2']'
69 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people greeting each other with a physical gesture like a handshake or a high-five. The images in cat_1 depict people kissing or embracing.\nRule: Cat_2 images show people greeting each other with a non-romantic physical gesture, while cat_1 images show people kissing or embracing.\nTest Image: The test image shows a woman kissing a man on the cheek, while the man looks surprised and has lipstick marks on his face.\nConclusion: cat_1']'
70 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The images in cat_2 depict paddle boarders or kayaks shaped like swans. The images in cat_1 depict various other types of boats and watercraft.\nRule: The images in cat_2 feature watercraft designed to resemble a swan.\nTest Image: The test image shows a person rowing a traditional boat. It does not resemble a swan.\nConclusion: cat_1']'
71 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 all depict boats shaped like swans, specifically paddle boats with a swan head and neck. The images in cat_1 depict various other types of boats - sailboats, motorboats, fishing boats, and traditional boats.\nRule: The distinguishing rule is whether the boat is shaped like a swan.\nTest Image: The test image shows a person in a small motorboat, fishing. It does not resemble a swan.\nConclusion: cat_1']'
72 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people shaking hands. The images in cat_1 depict people kissing or hugging.\nRule: Cat_2 images show people shaking hands, while cat_1 images show people kissing or hugging.\nTest Image: The test image shows two people facing each other, with one person about to kiss the other on the cheek.\nConclusion: cat_1']'
73 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people shaking hands. The images in cat_1 depict people hugging or kissing.\nRule: Cat_2 images show a handshake between two people, while cat_1 images show a hug or a kiss.\nTest Image: The test image shows a child looking jealously at another child being hugged and kissed by an adult.\nConclusion: cat_1']'
74 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The images in cat_2 show people entering or exiting a subway train, with a focus on the crowd and the doorway. The images in cat_1 show the interior of a train, or a view from the driver's cabin, or a person inside the train.\nRule: Cat_2 images depict people boarding or alighting a train from the platform, while cat_1 images show the inside of the train or the driver's view.\nTest Image: The test image shows a group of people exiting a train onto a platform.\nConclusion: cat_2"]'
75 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The images in cat_2 show people entering or exiting a subway train, with a focus on the crowd dynamics at the doors. The images in cat_1 show the inside of a train, or the train itself from the outside, with a focus on the train's interior or exterior details and often with fewer people directly interacting with the doors.\nRule: Cat_2 images depict people boarding or alighting a subway train, focusing on the doorway and the immediate surrounding crowd. Cat_1 images show the train itself or the interior of the train, not focused on the boarding/alighting process.\nTest Image: The test image shows the exterior of a train being cleaned by workers. It does not depict people boarding or alighting.\nConclusion: cat_1"]'
76 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show people *inside* a vehicle (bus or train), looking towards the camera or side, with a focus on the passengers. The images in cat_1 show the *exterior* of vehicles (buses), often front-facing, with people boarding or standing near them.\nRule: Cat_2 images depict the interior of a vehicle with passengers visible, while cat_1 images depict the exterior of a vehicle.\nTest Image: The test image shows the interior of a vehicle with passengers seated, similar to the cat_2 images.\nConclusion: cat_2']'
77 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show people inside a vehicle (bus or train), looking towards the camera or slightly to the side. The images in cat_1 show the exterior of a vehicle (bus).\nRule: Cat_2 images contain people inside a vehicle, while cat_1 images show the exterior of a vehicle.\nTest Image: The test image shows the rear of a bus.\nConclusion: cat_1']'
78 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 all depict boats propelled by oars, with a person actively rowing. The images in cat_1 all depict boats propelled by sails or motors.\nRule: Cat_2 images show boats propelled by oars, while cat_1 images show boats propelled by sails or motors.\nTest Image: The test image shows a boat propelled by oars, with a person actively rowing.\nConclusion: cat_2']'
79 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 all depict boats being propelled by oars, with a person actively rowing. The images in cat_1 all depict boats being propelled by sails or motors, without oars being used for propulsion.\nRule: The presence or absence of oars being used for propulsion. Cat_2 images show boats propelled by oars, while cat_1 images show boats propelled by sails or motors.\nTest Image: The test image shows a boat with a sail, and a person sitting in it. There are no oars visible or being used.\nConclusion: cat_1']'
80 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 all depict a person rowing a boat with oars. The images in cat_1 depict motorboats or jet skis, or boats with no visible oars.\nRule: The presence of oars and a person rowing the boat.\nTest Image: The test image shows a boat being rowed with oars by a person wearing a hat.\nConclusion: cat_2']'
81 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict individuals rowing a boat with oars. The images in cat_1 depict motorboats or jet skis.\nRule: Cat_2 images show boats propelled by oars, while cat_1 images show boats propelled by a motor.\nTest Image: The test image shows a boat with people on board, but it is propelled by a motor, as evidenced by the engine at the back.\nConclusion: cat_1']'
82 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 all depict boats being propelled by oars. The images in cat_1 depict boats propelled by motors or other means, or are larger vessels not typically propelled by oars.\nRule: The presence of oars being used for propulsion.\nTest Image: The test image shows a small boat being propelled by an oar.\nConclusion: cat_2']'
83 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 all depict boats being propelled by oars. The images in cat_1 depict boats propelled by motors or sails, or are stationary.\nRule: The distinguishing rule is whether the boat is propelled by oars.\nTest Image: The test image shows a sailboat, propelled by sails.\nConclusion: cat_1']'
