experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people walking dogs. The `cat_1` images do not have this common element.\nRule: Images showing people walking dogs.\nTest Image: The test image shows a dog sitting and looking at the camera. It does not depict a person walking a dog.\nConclusion: cat_1']'
98 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The first six images (cat_2) all depict people interacting with dogs in outdoor settings, often involving training or playing with a ball. The remaining six images (cat_1) show people interacting with dogs indoors, often in more formal or domestic settings.\nRule: Images showing people interacting with dogs outdoors, particularly during training or play with a ball.\nTest Image: The test image shows a woman pointing at a dog indoors. It does not depict outdoor interaction or training.\nConclusion: cat_1']'
99 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people interacting with dogs in a training or handling setting – often with a ball or other object being thrown or presented. The dogs are actively engaged in the activity. The `cat_1` images show dogs in various other contexts, such as being petted, walking, or simply existing.\nRule: People interacting with dogs in a training or handling setting (e.g., throwing a ball, presenting a toy).\nTest Image: A person walking a dog.\nConclusion: cat_1']'
100 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people holding or eating bananas. The cat_1 images do not show bananas.\nRule: Images showing people holding or eating bananas are cat_2, otherwise they are cat_1.\nTest Image: The test image shows a close-up of a peeled banana.\nConclusion: cat_2']'
101 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person holding a banana. All the cat_1 images do not show a person holding a banana.\nRule: All images must show a person holding a banana.\nTest Image: The test image shows a woman holding a banana.\nConclusion: cat_2']'
102 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The `cat_2` images all depict people celebrating with wine or champagne, often in a social setting with multiple glasses and smiling faces. The focus is on the act of toasting and enjoying drinks together. The `cat_1` images show people in various settings, but they don't consistently feature the celebration and drinking theme.\n\nRule: Images showing people toasting with wine or champagne in a social setting.\n\nTest Image: The test image shows two people toasting with champagne glasses.\n\nConclusion: cat_2"]'
103 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people raising glasses of wine or champagne in celebration, often with smiles and a festive atmosphere. The cat_1 images show people in various settings, but none of them are celebrating with drinks in a similar manner.\nRule: People raising glasses of wine or champagne in a celebratory setting.\nTest Image: A woman is holding a glass of wine and smiling.\nConclusion: cat_2']'
104 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person holding a knife. The cat_1 images do not show a person holding a knife.\nRule: Images showing a person holding a knife.\nTest Image: A girl is holding a knife.\nConclusion: cat_2']'
105 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person holding a knife.\nRule: All images contain a person holding a knife.\nTest Image: The test image shows a person holding a knife cutting a cake.\nConclusion: cat_2']'
106 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images consistently feature individuals holding knives or weapons, often in a menacing or dramatic context. The images depict scenes involving violence, threats, or a general sense of danger. The `cat_1` images show people cooking or preparing food, with no weapons present.\n\nRule: Images featuring individuals holding knives or weapons, particularly in contexts suggesting violence or threat.\n\nTest Image: The test image shows a hand holding a knife, with a blurred background of people.\n\nConclusion: cat_1']'
107 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people holding knives or weapons. The cat_1 images do not show any knives or weapons.\nRule: Images featuring people holding knives or weapons.\nTest Image: The test image shows a person holding a knife and eating with a spoon.\nConclusion: cat_2']'
108 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images feature people holding knives or weapons, often with blood or a menacing expression. The cat_1 images do not contain knives or weapons, and the subjects are generally engaged in everyday activities.\nRule: Presence of a knife or weapon and/or a menacing expression.\nTest Image: The test image shows a girl holding a knife.\nConclusion: cat_2']'
109 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images feature people holding knives and/or blood. The cat_1 images do not have this element.\nRule: Images containing knives and/or blood.\nTest Image: The test image shows a person cutting an onion with a knife.\nConclusion: cat_1']'
110 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person holding a knife or weapon. The cat_1 images do not show any weapons.\nRule: Images containing a person holding a knife or weapon belong to cat_2.\nTest Image: The test image shows a person holding a knife.\nConclusion: cat_2']'
111 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All cat_2 images show a person holding a knife. All cat_1 images do not show a person holding a knife.\nRule: Presence of a knife being held by a person.\nTest Image: A girl is holding a knife.\nConclusion: cat_2']'
112 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The `cat_2` images all depict people toasting with wine glasses in social settings, often with a group of people. The focus is on the act of toasting and the social interaction. The `cat_1` images show people in various settings, but they don't consistently involve toasting with wine glasses or a group dynamic.\nRule: Images showing people toasting with wine glasses in a social setting.\nTest Image: The test image shows a group of people toasting with wine glasses.\nConclusion: cat_2"]'
113 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people holding wine glasses and smiling. The cat_1 images do not show people holding wine glasses.\nRule: People holding wine glasses and smiling.\nTest Image: A man holding a glass of red wine.\nConclusion: cat_2']'
114 | expected:'cat_2' | got='cat_1 | full: ['Analysis: All the cat_2 images show people holding or using knives to cut or prepare food. The cat_1 images do not depict this action.\nRule: People holding or using knives to cut or prepare food.\nTest Image: A person is holding a knife to their face.\nConclusion: cat_1']'
115 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people holding knives and cutting food, particularly meat. The focus is on the act of cutting and preparing food with a knife.\nRule: Images depicting people using knives to cut food.\nTest Image: A person is cutting a fish with a knife.\nConclusion: cat_2']'
116 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people holding or interacting with knives, often in a violent or unsettling manner. The cat_1 images do not depict such interactions.\nRule: Images featuring people holding or using knives in a threatening or violent context.\nTest Image: The test image shows a person holding a large knife and sticking their tongue out, which aligns with the violent theme of the cat_2 images.\nConclusion: cat_2']'
117 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people holding knives and/or cutting objects. The cat_1 images do not show this action.\nRule: Images showing people holding knives or cutting objects.\nTest Image: The test image shows a man holding a knife and a fork.\nConclusion: cat_2']'
