experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: ['1. Rule: The cat_2 images show dogs being walked on leashes by people, while the cat_1 images show dogs being held or petted by people.\n2. Analysis: The test image shows a dog wearing a bow tie, which is not a leash, and the dog is not being walked by a person. The dog appears to be sitting on a surface, possibly a couch or a chair, and is being held by a person.\n3. Conclusion: cat_1']
86 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show a person rowing a small boat, while cat_1 images show a group of people in a larger boat or a different type of watercraft. The test image shows a person rowing a small boat, similar to the cat_2 images.\n\nRule: The distinguishing rule is that cat_2 images show a person rowing a small boat, while cat_1 images show a group of people in a larger boat or a different type of watercraft.\n\nTest Image: A person is rowing a small boat in the water.\n\nConclusion: cat_2']
87 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show people rowing in small boats, while cat_1 images show people in larger boats or on jet skis. The test image shows people on a larger boat with a sail, which is not a small rowing boat.\n\nRule: The distinguishing rule is that cat_2 images show people rowing in small boats, while cat_1 images show people in larger boats or on jet skis.\n\nTest Image: People on a larger boat with a sail\n\nConclusion: cat_1']
88 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show people toasting with wine glasses, while cat_1 images show people holding wine glasses but not necessarily toasting. The test image shows two people toasting with wine glasses, which aligns with the cat_2 rule.\n\nRule: People toasting with wine glasses\n\nTest Image: Two people are toasting with wine glasses\n\nConclusion: cat_2']
89 | expected:'cat_1' | got='cat_1' | full: ['1. Rule: The cat_2 images show people toasting with wine glasses, while the cat_1 images show people holding wine glasses but not necessarily toasting.\n2. Analysis: The test image shows a man and a woman holding wine glasses, but they are not toasting. The man is holding the glass up, and the woman is holding her glass down.\n3. Conclusion: cat_1']
90 | expected:'cat_2' | got='cat_2' | full: [" Analysis: All cat_2 images show people in formal attire, either business or semi-formal, engaged in a handshake or a similar gesture of greeting or agreement. The individuals are mostly adults, and the setting appears to be professional or formal. Cat_1 images show people in casual attire, often in a more intimate or affectionate pose, such as hugging or kissing. The setting is less formal and more personal.\n\nRule: The distinguishing rule is the level of formality and the nature of the interaction between the individuals.\n\nTest Image: A man in a suit is extending his hand for a handshake, with another person's hand visible in the frame, suggesting a formal interaction.\n\nConclusion: cat_2"]
91 | expected:'cat_1' | got='cat_1' | full: [" Analysis: All cat_2 images show people in formal or semi-formal attire, engaged in professional or social interactions, often involving handshakes or greetings. Cat_1 images depict more casual or intimate interactions, such as hugs or affectionate gestures.\n\nRule: Formal attire and professional or social interactions\n\nTest Image: A man and a woman are in close proximity, the man is adjusting the woman's tie, and they appear to be in a casual setting.\n\nConclusion: cat_1"]
92 | expected:'cat_2' | got='cat_2' | full: [" Analysis: The cat_2 images show birds in flight, often with their wings spread wide, and the person is reaching up to catch or interact with the bird. The cat_1 images show birds perched on a person's hand, with the person's hand extended towards the bird, but the bird is not in flight and is not actively being caught.\n\nRule: The distinguishing rule is that cat_2 images show birds in flight, while cat_1 images show birds perched on a person's hand.\n\nTest Image: A person is reaching up to catch a bird in flight, with the bird's wings spread wide.\n\nConclusion: cat_2"]
93 | expected:'cat_1' | got='cat_1' | full: [" Analysis: The cat_2 images show birds in flight being caught by a person's outstretched hands, while the cat_1 images show birds perched on a person's hand or being fed. The test image shows a bird perched on a person's arm, which is consistent with the cat_1 images.\n\nRule: The distinguishing rule is that cat_2 images show birds in flight being caught by a person's outstretched hands, while cat_1 images show birds perched on a person's hand or being fed.\n\nTest Image: A bird is perched on a person's arm.\n\nConclusion: cat_1"]
94 | expected:'cat_2' | got='cat_2' | full: [" Analysis: All cat_2 images show a person holding a knife in a threatening or aggressive manner, while cat_1 images show a person holding a knife in a non-threatening or non-aggressive manner.\nRule: The knife is held in a threatening or aggressive manner.\nTest Image: A person is holding a knife in a threatening manner, pointing it at another person's neck.\nConclusion: cat_2"]
95 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show a person holding a knife in a threatening or aggressive manner, while cat_1 images show a person holding a knife in a non-threatening or non-aggressive manner.\nRule: The knife is held in a threatening or aggressive manner.\nTest Image: A person is holding a knife in a non-threatening manner, cutting a piece of food on a cutting board.\nConclusion: cat_1']
96 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show people engaging in friendly gestures like handshakes, hugs, and smiling, while the cat_1 images depict intimate or romantic gestures like kissing and holding. The cat_2 images generally show people in a more public setting, while the cat_1 images are more private.\n\nRule: The cat_2 images show people engaging in friendly gestures in a public setting, while the cat_1 images depict intimate or romantic gestures in a private setting.\n\nTest Image: Two men are standing in a room, one is gesturing with his hands while the other is looking at him. The setting appears to be a public space, possibly a meeting or a casual gathering.\n\nConclusion: cat_2']
97 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show people shaking hands, while cat_1 images show people in close physical contact, such as kissing or hugging. \nRule: People shaking hands\nTest Image: Two people are sitting on the grass, one is leaning towards the other, and they appear to be in a close, intimate position.\nConclusion: cat_1']
98 | expected:'cat_2' | got='cat_2' | full: ["1. The rule is that cat_2 images show dogs interacting with people in a way that suggests training or play, while cat_1 images show dogs in more passive or domestic settings.\n2. The test image shows a person holding a dog's leash, which suggests a training or interaction scenario.\n3. Conclusion: cat_2"]
