experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images show people walking dogs on leashes in various outdoor settings. The cat_1 images depict people holding or interacting with dogs in close proximity, often indoors or in more intimate settings.\n\nRule: The distinguishing rule is whether the dogs are on leashes and being walked outdoors (cat_2) or being held or closely interacted with, often indoors (cat_1).\n\nTest Image: The test image shows a corgi sitting on a paved path, wearing a bandana, with people walking in the background.\n\nConclusion: cat_2']
95 | expected:'cat_1' | got='cat_1' | full: ["Analysis: The cat_2 images depict people holding knives in a threatening or dramatic manner, often with a focus on the knife or the person's expression. The cat_1 images show people using knives in a more casual or everyday context, such as cooking or eating.\n\nRule: The distinguishing rule is whether the knife is being held in a threatening or dramatic manner (cat_2) versus being used in a normal, everyday activity (cat_1).\n\nTest Image: The test image shows a person sharpening a knife, which is a normal, everyday activity.\n\nConclusion: cat_1"]
96 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images depict people engaging in physical contact such as handshakes, hugs, or kisses. The cat_1 images show people in various settings but without direct physical contact between individuals.\n\nRule: The distinguishing rule is the presence of physical contact between individuals in the images.\n\nTest Image: The test image shows two men engaging in a handshake.\n\nConclusion: cat_2']
97 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images depict people engaging in friendly or affectionate interactions such as handshakes, hugs, and kisses. The cat_1 images show people in more formal or serious settings, such as a military training exercise, a group working on laptops, and a man holding a baby.\n\nRule: The distinguishing rule is that cat_2 images show people in friendly or affectionate interactions, while cat_1 images show more formal or serious settings.\n\nTest Image: The test image shows two people sitting on the grass, kissing.\n\nConclusion: cat_2']
98 | expected:'cat_2' | got='cat_1' | full: ['Analysis: The cat_2 images depict people interacting with dogs in outdoor settings, often involving play or training activities. The cat_1 images show people with dogs in various settings, including indoor and outdoor, but without the specific focus on active interaction or training.\n\nRule: The distinguishing rule is that cat_2 images involve active interaction or training with dogs in outdoor settings, while cat_1 images do not focus on this type of interaction.\n\nTest Image: The test image shows a person holding a small dog indoors.\n\nConclusion: cat_1']
99 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images show people interacting with dogs in outdoor settings, often involving play or training activities. The cat_1 images depict people with dogs in various settings, including indoor and outdoor, but without the specific focus on active interaction or training.\n\nRule: The distinguishing rule is that cat_2 images involve active interaction or training with dogs in outdoor settings, while cat_1 images do not focus on this type of interaction.\n\nTest Image: The test image shows a person walking a dog on a leash in an outdoor setting.\n\nConclusion: cat_2']
100 | expected:'cat_2' | got='cat_1' | full: ['Analysis: The cat_2 images show people holding bananas in a way that the bananas are peeled and ready to eat. The cat_1 images show people holding bananas, but the bananas are not peeled or are partially peeled.\n\nRule: The distinguishing rule is whether the banana is fully peeled and ready to eat.\n\nTest Image: The test image shows a hand holding a banana that is partially peeled.\n\nConclusion: cat_1']
101 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The cat_2 images show people holding bananas, while the cat_1 images show people holding other items or not holding bananas.\nRule: The distinguishing rule is that cat_2 images feature people holding bananas.\nTest Image: The test image shows a person holding a banana.\nConclusion: cat_2']
102 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images depict groups of people raising their glasses in a toast, often in a celebratory or social setting. The cat_1 images show individuals or pairs holding glasses, but not in a group toast setting.\n\nRule: The distinguishing feature is whether the image shows a group of people toasting together.\n\nTest Image: The test image shows two people raising their glasses in a toast.\n\nConclusion: cat_2']
103 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images show people holding wine glasses and toasting, often in a social or celebratory setting. The cat_1 images also show people holding wine glasses, but the focus is more on the individuals rather than the act of toasting.\n\nRule: The distinguishing rule is that cat_2 images emphasize the act of toasting or celebrating with wine glasses, while cat_1 images focus on individuals holding wine glasses without a clear emphasis on toasting.\n\nTest Image: The test image shows a person holding a wine glass with a polka dot design, smiling, and appears to be in a social setting.\n\nConclusion: cat_1']
104 | expected:'cat_2' | got='None' | full: ['']
105 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images depict people holding knives in a threatening or aggressive manner, often with intense expressions or in dramatic settings. The cat_1 images show knives being used in non-threatening contexts, such as cooking or cutting a cake.\n\nRule: The distinguishing rule is whether the knife is being used in a threatening or aggressive manner (cat_2) versus a non-threatening or everyday context (cat_1).\n\nTest Image: The test image shows a person cutting a cake with a knife, which is a non-threatening context.\n\nConclusion: cat_1']
106 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images feature individuals holding knives in a threatening or aggressive manner, often with intense expressions or in dramatic settings. The cat_1 images show people using knives in non-threatening contexts, such as cooking or everyday activities.\n\nRule: The distinguishing rule is whether the knife is being held in a threatening or aggressive manner.\n\nTest Image: The test image shows a person holding a knife in a threatening manner, with a blurred background suggesting a tense or dramatic setting.\n\nConclusion: cat_2']
107 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images feature individuals holding knives in a threatening or dramatic manner, often with intense expressions or in dark settings. The cat_1 images show people using knives in a non-threatening context, such as cooking or preparing food.\n\nRule: The distinguishing rule is whether the knife is being held in a threatening or dramatic manner (cat_2) versus being used in a non-threatening, everyday context like cooking (cat_1).\n\nTest Image: The test image shows a person sitting at a table, using a knife and fork to eat a meal, with condiments on the table.\n\nConclusion: cat_1']
108 | expected:'cat_2' | got='None' | full: ['']
109 | expected:'cat_1' | got='cat_1' | full: ["Analysis: The cat_2 images depict individuals holding knives in a threatening or aggressive manner, often with a focus on the knife or the person's expression. The cat_1 images show more casual or non-threatening uses of knives, such as cutting food or holding a knife in a non-threatening context.\n\nRule: The distinguishing rule is whether the knife is being used in a threatening or aggressive manner (cat_2) versus a non-threatening or casual manner (cat_1).\n\nTest Image: The test image shows a person cutting an onion on a cutting board, which is a non-threatening use of a knife.\n\nConclusion: cat_1"]
110 | expected:'cat_2' | got='cat_2' | full: ["Analysis: The cat_2 images depict individuals holding knives in a threatening or aggressive manner, often with a focus on the knife and the person's expression. The cat_1 images show individuals holding knives in a non-threatening or casual manner, often in everyday settings or activities.\n\nRule: The distinguishing rule is whether the knife is being held in a threatening or aggressive manner (cat_2) versus a non-threatening or casual manner (cat_1).\n\nTest Image: The test image shows a person holding a knife in a threatening or aggressive manner, similar to the cat_2 images.\n\nConclusion: cat_2"]
111 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images show people holding knives in a threatening or aggressive manner, often with a focus on the knife being pointed or held in a way that suggests danger. The cat_1 images show people holding knives in a non-threatening manner, often in a context of everyday use or casual handling.\n\nRule: The distinguishing rule is whether the knife is held in a threatening or aggressive manner (cat_2) or in a non-threatening, casual manner (cat_1).\n\nTest Image: The test image shows a person holding a knife in a non-threatening manner, seemingly engaged in a casual activity.\n\nConclusion: cat_1']
