experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people walking dogs outdoors, while the `cat_1` images show people holding or interacting with dogs indoors or in close-up settings.\n\nRule: The distinguishing rule is whether the scene is outdoors with people walking dogs (`cat_2`) or indoors or close-up interactions with dogs (`cat_1`).\n\nTest Image: The test image shows a dog sitting on a paved path outdoors.\n\nConclusion: cat_2']
157 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images feature individuals performing skateboarding tricks or actions, often in dynamic poses. The `cat_1` images include a variety of scenes, such as a person holding skateboards, a person in a suit skateboarding, and a person performing a trick on a rail, which do not fit the typical skateboarding action theme as consistently as `cat_2`.\n\nRule: The distinguishing rule is that `cat_2` images consistently show individuals actively engaged in skateboarding tricks or actions, while `cat_1` images include scenes that are not typical skateboarding action shots.\n\nTest Image: The test image shows a person performing a skateboarding trick on a rail.\n\nConclusion: cat_2']
158 | expected:'cat_2' | got='cat_2' | full: ["Analysis: The images in cat_2 show elephants with people riding on their backs, often in a controlled or guided setting, such as a zoo or a tourist attraction. The images in cat_1 show elephants without riders or in a different context, such as being washed or standing alone.\n\nRule: The distinguishing rule is the presence of people riding on the elephants' backs.\n\nTest Image: The test image shows an elephant with people riding on its back.\n\nConclusion: cat_2"]
159 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images show elephants with people riding on their backs or interacting closely with them, often in a controlled environment like a zoo or sanctuary. The `cat_1` images depict elephants without people riding them, and they appear to be in more natural or less controlled settings.\n\nRule: The presence of people riding or closely interacting with the elephants distinguishes `cat_2` from `cat_1`.\n\nTest Image: The test image shows an elephant walking on a road with a person walking beside it, not riding it.\n\nConclusion: cat_1']
160 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people riding bicycles in various outdoor settings, including streets, parks, and skate parks. The `cat_1` images show bicycles being worked on or maintained, with no one riding them.\n\nRule: The distinguishing rule is whether people are actively riding bicycles (cat_2) or bicycles are being worked on/maintained (cat_1).\n\nTest Image: The test image shows a person riding a bicycle on a street.\n\nConclusion: cat_2']
161 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The images in cat_2 show people riding bicycles in various outdoor settings, including streets, parks, and trails. The images in cat_1 show bicycles being worked on or maintained, with no one riding them.\n\nRule: The distinguishing rule is whether the bicycle is being ridden or being worked on/maintained.\n\nTest Image: The test image shows a person riding a bicycle on a road.\n\nConclusion: cat_2']
162 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people in close, affectionate interactions such as hugging, kissing, or holding each other. The `cat_1` images show people in formal or professional settings, such as handshakes or business attire, or in non-affectionate interactions.\n\nRule: `cat_2` images show people in affectionate or intimate interactions, while `cat_1` images show people in formal, professional, or non-affectionate interactions.\n\nTest Image: The test image shows two people hugging in a natural outdoor setting.\n\nConclusion: cat_2']
163 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people in close, affectionate interactions such as hugging, kissing, or comforting. The `cat_1` images show people in formal or professional interactions, such as handshakes or business settings.\n\nRule: The distinguishing rule is whether the interaction is affectionate (cat_2) or formal/professional (cat_1).\n\nTest Image: The test image shows a man and a woman in a close, affectionate embrace.\n\nConclusion: cat_2']
164 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people holding dogs, while the `cat_1` images show dogs without people holding them.\n\nRule: The distinguishing rule is whether a person is holding the dog.\n\nTest Image: The test image shows a person holding a dog.\n\nConclusion: cat_2']
165 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images show people interacting with dogs, either holding, petting, or playing with them. The `cat_1` images show dogs alone or with minimal human interaction, primarily focused on the dogs themselves.\n\nRule: The distinguishing rule is the presence of human interaction with the dogs. `cat_2` includes images where people are actively engaging with the dogs, while `cat_1` includes images where the focus is on the dogs with little to no human interaction.\n\nTest Image: The test image shows a person lying on the grass, interacting with a dog by feeding or petting it.\n\nConclusion: cat_2']
166 | expected:'cat_2' | got='cat_1' | full: ['Analysis: The `cat_2` images primarily feature keyboards or activities related to keyboards, such as typing, cleaning, or interacting with them. The `cat_1` images, on the other hand, feature musical instruments or activities related to music, such as playing an accordion or piano.\n\nRule: The distinguishing rule is whether the image is related to keyboards (cat_2) or musical instruments (cat_1).\n\nTest Image: The test image shows a person playing a piano.\n\nConclusion: cat_1']
167 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images primarily show hands interacting with keyboards or laptops, either typing or cleaning. The `cat_1` images include a variety of scenes not directly related to keyboard interaction, such as a person playing an accordion, a child using a laptop, and a person holding a keyboard.\n\nRule: The distinguishing rule is that `cat_2` images involve direct interaction with a keyboard or laptop, while `cat_1` images do not.\n\nTest Image: The test image shows a person cleaning a keyboard with a green cleaning tool.\n\nConclusion: cat_2']
168 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people eating bananas, while the `cat_1` images show bananas in different contexts, such as being held or placed on a surface, but not being eaten.\n\nRule: The distinguishing rule is whether the person in the image is actively eating the banana.\n\nTest Image: The test image shows a person eating a banana.\n\nConclusion: cat_2']
169 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images show people eating or holding bananas in a way that suggests they are about to eat them. The `cat_1` images show bananas being used in a humorous or unconventional manner, such as being held like a phone or with text written on them.\n\nRule: The distinguishing rule is whether the banana is being used for eating (cat_2) or for a humorous/non-conventional purpose (cat_1).\n\nTest Image: The test image shows a person holding a banana in a way that suggests they are about to eat it.\n\nConclusion: cat_2']
170 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict motorcycles in motion, often performing stunts or racing. The `cat_1` images show motorcycles stationary or in a non-racing context, such as parked or with people posing.\n\nRule: The distinguishing rule is whether the motorcycle is in motion or performing a stunt (cat_2) versus being stationary or in a non-racing context (cat_1).\n\nTest Image: The test image shows a motorcycle in motion on a road, likely racing or performing a stunt.\n\nConclusion: cat_2']
